"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY INDIA CONSUMPTION","28 Feb 2025","38.63","8.04","1.08"
"NIFTY INDIA CONSUMPTION","27 Feb 2025","39.86","8.29","1.05"
"NIFTY INDIA CONSUMPTION","25 Feb 2025","40.15","8.35","1.04"
"NIFTY INDIA CONSUMPTION","24 Feb 2025","39.89","8.3","1.05"
"NIFTY INDIA CONSUMPTION","21 Feb 2025","40.08","8.34","1.04"
"NIFTY INDIA CONSUMPTION","20 Feb 2025","40.52","8.43","1.08"
"NIFTY INDIA CONSUMPTION","19 Feb 2025","40.34","8.39","1.08"
"NIFTY INDIA CONSUMPTION","18 Feb 2025","40.3","8.38","1.08"
"NIFTY INDIA CONSUMPTION","17 Feb 2025","40.43","8.41","1.08"
"NIFTY INDIA CONSUMPTION","14 Feb 2025","40.61","8.45","1.08"
"NIFTY INDIA CONSUMPTION","13 Feb 2025","41","8.53","1.07"
"NIFTY INDIA CONSUMPTION","12 Feb 2025","41.08","8.55","1.07"
"NIFTY INDIA CONSUMPTION","11 Feb 2025","41.41","8.59",".88"
"NIFTY INDIA CONSUMPTION","10 Feb 2025","42.52","8.77",".86"
"NIFTY INDIA CONSUMPTION","07 Feb 2025","46","8.91",".98"
"NIFTY INDIA CONSUMPTION","06 Feb 2025","45.88","8.87",".97"
"NIFTY INDIA CONSUMPTION","05 Feb 2025","46.5","9.01",".95"
"NIFTY INDIA CONSUMPTION","04 Feb 2025","46.87","9.08",".94"
"NIFTY INDIA CONSUMPTION","03 Feb 2025","46.95","9.09",".94"
"NIFTY INDIA CONSUMPTION","01 Feb 2025","46.96","9.1",".93"
"NIFTY INDIA CONSUMPTION","31 Jan 2025","45.5","8.83",".97"
"NIFTY INDIA CONSUMPTION","30 Jan 2025","44.95","8.69",".98"
"NIFTY INDIA CONSUMPTION","29 Jan 2025","44.76","8.64",".99"
"NIFTY INDIA CONSUMPTION","28 Jan 2025","44.38","8.56","1"
"NIFTY INDIA CONSUMPTION","27 Jan 2025","44.08","8.53","1"
"NIFTY INDIA CONSUMPTION","24 Jan 2025","44.62","8.64",".99"
"NIFTY INDIA CONSUMPTION","23 Jan 2025","45.02","8.69",".98"
